Vehicle ID,Position,Speed (km/h),Data Transfer Rate (Mbps),Connection Duration (s),Traffic Density (%),Network Load (Mbps),Latency (ms),Throughput (Mbps),Signal Strength (dBm),Intrusion Detected,Anomaly Score,Encryption Status,Intrusion Type,Resource Allocation (Mbps),Optimization Status
V00000,"(65.470260701944, 156.11381151486108)",21.20954717823202,9.216063245162584,9,9.932835632960579,15.261072380510965,94.83015863801624,10.774937256709194,-47.53126243846182,0,0.044283180152253854,No,Data Exfiltration,31.93929929828732,1
V00001,"(10.273378627506958, 87.7815573515482)",31.456556791967078,3.8719364491470274,63,51.205805101549316,12.345880879154391,43.961059679205654,14.507079501297167,-76.36506559798308,1,0.1470074341607388,No,None,11.537625707693872,0
V00002,"(81.90222349092264, -177.02890040992722)",98.7356659334654,5.024388880973058,117,56.996631474227414,17.516087686776427,51.66753429639109,9.587981706958546,-66.99416883398618,0,0.7110152726936441,No,None,8.924648775497756,1
V00003,"(-54.68102671946599, -158.13746723949083)",69.98769245987752,8.016861377072352,104,18.83584411549666,64.92969829632877,45.68797447485289,14.926585289888305,-49.060647862655664,0,0.5435540434526208,No,MITM,18.286934359858787,0
V00004,"(-24.690577414051333, -51.02641543160826)",71.0163809876834,5.983702199481865,16,4.126502439941948,65.84302033937361,37.132723272187675,8.221872618680095,-45.102675709226986,1,0.12692622833311562,Yes,Data Exfiltration,24.881201995817353,0
V00005,"(30.623007178443856, 120.25617700745369)",113.75960805404269,4.124164714252782,15,48.658171427926646,70.37493619220638,44.44157361000475,14.40924394515086,-57.39722367319452,1,0.11272132910262156,Yes,Data Exfiltration,19.172015324157776,1
V00006,"(19.382617160781592, 52.0858521676993)",111.30487704857264,3.5060794591944466,119,31.622393335834786,11.63773367005605,18.27539993226393,16.469571421964297,-40.93359055553807,1,0.8332823746476208,No,Data Exfiltration,41.64428221232866,0
V00007,"(76.82914584214714, 22.978843177409743)",10.76978750571386,1.3828349269558455,71,22.69860105043232,51.669485020864656,17.786611476738543,13.753551856932235,-64.43165666881755,0,0.5515734852760081,Yes,MITM,47.56411048312349,0
V00008,"(74.30517673960722, -178.64632105264698)",92.63993828318885,7.909584186845531,24,16.1917629666826,32.36804799433002,41.65553548473419,9.470791265707406,-60.83031404599505,1,0.028693364643894825,No,None,26.0652354582499,1
V00009,"(4.018315729920673, 72.41134205529494)",60.588866162036936,6.900676325844963,33,28.615398543820938,0.28817613055738267,98.37610677714255,11.756260849155364,-54.31885108987822,0,0.16948118129528567,Yes,Data Exfiltration,14.2191433633031,1
V00010,"(-2.028007010321261, -79.05617462020214)",47.328775297259085,5.6438471677189535,91,98.34884295380267,69.66190064337965,12.100068943511628,15.069533374719327,-68.89496840875138,0,0.1814317349959772,No,DoS,15.275487260702182,0
V00011,"(-18.399338740538553, 103.67055252738601)",98.12049512297946,1.6285953464722238,44,52.679590055140665,74.42167301211653,29.582467147768188,11.841091505357765,-77.25280235571927,1,0.09497759639702275,No,None,46.77662785676671,0
V00012,"(-67.51277424252984, 97.22051692169305)",68.8416967144936,1.2912970780059116,23,64.83988144129916,74.47775390929114,77.97513687005514,7.797612164485781,-63.06536637937638,0,0.7023407841638593,No,DoS,29.146524590043693,0
V00013,"(82.27911419459008, -9.324254283918464)",40.13703937602493,6.82892395007355,21,64.82457878830358,94.98262608154936,93.2941142353017,12.468909807192173,-45.052827361397675,0,0.25509919036144435,No,Data Exfiltration,34.77873826283053,0
V00014,"(19.189665970980897, -109.02432809047312)",108.3434437678982,8.351593542135173,110,47.97045382839747,21.987599946690416,68.69233770256866,19.309845191505516,-67.67972651605592,1,0.46782481919582974,Yes,MITM,3.04909424162188,0
V00015,"(-56.2659120951384, 7.720382589193463)",47.24813677438742,2.271973963943048,45,57.54662079836626,97.57327084251864,98.4644547814253,18.149588074805816,-64.2154045856977,0,0.4918097122538859,Yes,Data Exfiltration,7.947048837801973,1
V00016,"(33.97600029208351, 165.76743966483536)",39.11458811271615,1.209476290932984,43,99.80933484433639,71.11389249290937,77.50631775755397,14.269458321121581,-64.0678209742873,1,0.10663775932316488,No,None,40.78446557563687,1
V00017,"(-21.295859279335644, -38.4822359730189)",15.204061844003295,8.97749496010387,64,45.730054677519746,63.927949115898244,22.539007967715857,4.679183327692893,-79.86938191280441,1,0.1752403355983152,No,Data Exfiltration,38.56301858423495,1
V00018,"(2.4864957162890704, 91.13709183062122)",87.14918424124514,1.5278464511586551,42,48.53772631633392,36.16252899567234,88.96636758683282,19.851676398196904,-66.4208578522261,0,0.33983574596044275,Yes,MITM,1.6252104772783549,0
V00019,"(-17.57324962387065, -40.24395554467765)",77.2660749678903,6.874450335150056,12,81.480900717461,14.958832399179112,87.97605024317485,18.49610043115203,-46.659879738458,1,0.18890000473869317,No,MITM,14.932439184571027,1
V00020,"(-14.647064475551716, -9.509162939197608)",84.82945543467682,4.344114798619815,94,81.0214281339407,65.79193856909406,34.10245294890947,10.194440165442,-59.450151935027364,0,0.13245081757328703,Yes,DoS,14.511681607101151,1
V00021,"(-19.34615905373208, 76.74637853347264)",30.867006263357744,3.6805920484236285,98,88.1290051253841,40.12524161344187,34.0278248836527,15.555895859182662,-58.885885913851595,0,0.5621059892019908,No,None,18.567801400425367,0
V00022,"(-13.951039423363596, -105.64004477386915)",7.434043426376049,6.895266838433128,63,27.531109996715397,91.62435069408816,53.43950139701873,11.689468258158612,-42.48391729076165,0,0.6438091390387708,No,Data Exfiltration,19.879635989154202,0
V00023,"(82.42818267301035, -166.95555170649664)",21.06489625779727,5.943243732576291,40,36.99080818459102,0.5742259061401245,92.87278898107769,14.955629568345538,-78.82847593711534,0,0.7587767837643932,No,DoS,48.59975267120181,1
V00024,"(-60.80911003111745, 90.68281672386524)",25.812016814767894,4.732924392611678,16,26.450239944544972,54.45818154373847,55.44208071171788,19.290263297176214,-48.31702723122457,1,0.8375268175034635,Yes,None,48.875807743575635,0
V00025,"(-54.66743581216782, -71.71042789091862)",15.17663480992153,1.4159828266166872,78,90.66660497105528,50.932272674449884,13.355910976835483,19.175975658324596,-58.79089574758832,0,0.19310217812557273,No,MITM,45.818886186423875,1
V00026,"(-68.26451002999117, -163.092004701888)",89.17077594693889,7.8942930341615,18,79.36424045983861,33.235533621484436,62.283935868799716,11.301173503867373,-46.478155271221176,1,0.16158682626398757,Yes,DoS,44.45435687739041,1
V00027,"(-51.91507610750891, 19.18190201547216)",45.595703901004825,2.0122114654670264,59,15.076866339507466,16.02287773040576,81.5290393776516,17.606457722755312,-72.72514503973359,1,0.28599680991088916,Yes,DoS,6.688842767179853,1
V00028,"(68.26138048540798, 50.57506643872463)",29.715343393141413,0.8960796726877,12,74.25993445506485,38.53511526372566,87.60943551851142,11.979530543160203,-77.12594958403925,0,0.779812207503996,No,Data Exfiltration,18.549889713370565,0
V00029,"(88.38328592376746, 153.91666531890837)",113.47453139229027,7.066125585388061,68,62.81975298921232,47.24586131981577,69.86363583270031,1.3284440377319786,-68.62784107296307,0,0.5414842882629771,No,Data Exfiltration,4.747138036814058,1
